route_key,ODC,DDC,ProductType,dayofweek,Optimal_Model,Historical_Error_Pct,Confidence
IAH|MCO|MAX|4,IAH,MCO,MAX,4,01_Historical_Baseline,0.0,HIGH
IAH|MCO|MAX|5,IAH,MCO,MAX,5,01_Historical_Baseline,999.0,LOW
IAH|MCO|MAX|6,IAH,MCO,MAX,6,01_Historical_Baseline,999.0,LOW
IAH|ORD|MAX|3,IAH,ORD,MAX,3,02_Recent_2W,0.0,HIGH
IAH|ORD|MAX|4,IAH,ORD,MAX,4,01_Historical_Baseline,0.0,HIGH
IAH|ORD|MAX|5,IAH,ORD,MAX,5,01_Historical_Baseline,999.0,LOW
IAH|ORD|MAX|6,IAH,ORD,MAX,6,01_Historical_Baseline,999.0,LOW
IAH|PHX|MAX|3,IAH,PHX,MAX,3,02_Recent_2W,0.0,HIGH
IAH|PHX|MAX|4,IAH,PHX,MAX,4,02_Recent_2W,0.0,HIGH
IAH|PHX|MAX|5,IAH,PHX,MAX,5,01_Historical_Baseline,999.0,LOW
IAH|PHX|MAX|6,IAH,PHX,MAX,6,01_Historical_Baseline,999.0,LOW
IAH|SEA|EXP|3,IAH,SEA,EXP,3,04_Recent_8W,2.1739130434782608,HIGH
IAH|SEA|EXP|4,IAH,SEA,EXP,4,04_Recent_8W,0.78125,HIGH
IAH|SEA|EXP|5,IAH,SEA,EXP,5,01_Historical_Baseline,999.0,LOW
IAH|SEA|EXP|6,IAH,SEA,EXP,6,01_Historical_Baseline,999.0,LOW
IAH|SEA|EXP|7,IAH,SEA,EXP,7,01_Historical_Baseline,999.0,LOW
IAH|SEA|MAX|3,IAH,SEA,MAX,3,12_Median_Recent,0.0,HIGH
IAH|SEA|MAX|4,IAH,SEA,MAX,4,02_Recent_2W,0.0,HIGH
IAH|SEA|MAX|5,IAH,SEA,MAX,5,01_Historical_Baseline,999.0,LOW
IAH|SEA|MAX|6,IAH,SEA,MAX,6,01_Historical_Baseline,999.0,LOW
IAH|SEA|MAX|7,IAH,SEA,MAX,7,01_Historical_Baseline,999.0,LOW
IAH|SFO|EXP|3,IAH,SFO,EXP,3,01_Historical_Baseline,0.0,HIGH
IAH|SFO|EXP|4,IAH,SFO,EXP,4,01_Historical_Baseline,0.0,HIGH
IAH|SFO|MAX|3,IAH,SFO,MAX,3,02_Recent_2W,0.0,HIGH
IAH|SFO|MAX|4,IAH,SFO,MAX,4,02_Recent_2W,0.0,HIGH
IAH|SFO|MAX|5,IAH,SFO,MAX,5,01_Historical_Baseline,999.0,LOW
IAH|SFO|MAX|6,IAH,SFO,MAX,6,01_Historical_Baseline,999.0,LOW
IAH|SFO|MAX|7,IAH,SFO,MAX,7,01_Historical_Baseline,999.0,LOW
IAH|SLC|EXP|3,IAH,SLC,EXP,3,18_Clustering,45.81265508684863,MEDIUM
IAH|SLC|EXP|4,IAH,SLC,EXP,4,18_Clustering,21.510545905707193,MEDIUM
IAH|SLC|EXP|5,IAH,SLC,EXP,5,01_Historical_Baseline,999.0,LOW
IAH|SLC|EXP|6,IAH,SLC,EXP,6,08_Week_Specific,0.0,HIGH
IAH|SLC|EXP|7,IAH,SLC,EXP,7,01_Historical_Baseline,999.0,LOW
IAH|SLC|MAX|3,IAH,SLC,MAX,3,12_Median_Recent,0.0,HIGH
IAH|SLC|MAX|4,IAH,SLC,MAX,4,07_Same_Week_Last_Year,0.0,HIGH
IAH|SLC|MAX|5,IAH,SLC,MAX,5,01_Historical_Baseline,0.0,HIGH
IAH|SLC|MAX|6,IAH,SLC,MAX,6,07_Same_Week_Last_Year,0.0,HIGH
IAH|SLC|MAX|7,IAH,SLC,MAX,7,07_Same_Week_Last_Year,0.0,HIGH
LAX|ATL|EXP|3,LAX,ATL,EXP,3,01_Historical_Baseline,0.0,HIGH
LAX|ATL|EXP|4,LAX,ATL,EXP,4,01_Historical_Baseline,0.0,HIGH
LAX|ATL|EXP|5,LAX,ATL,EXP,5,01_Historical_Baseline,0.0,HIGH
LAX|ATL|MAX|3,LAX,ATL,MAX,3,02_Recent_2W,8.19672131147541,HIGH
LAX|ATL|MAX|4,LAX,ATL,MAX,4,16_ML_Regressor,1.6519846963630018,HIGH
LAX|ATL|MAX|5,LAX,ATL,MAX,5,01_Historical_Baseline,0.0,HIGH
LAX|ATL|MAX|6,LAX,ATL,MAX,6,01_Historical_Baseline,999.0,LOW
LAX|ATL|MAX|7,LAX,ATL,MAX,7,01_Historical_Baseline,999.0,LOW
LAX|BOS|EXP|3,LAX,BOS,EXP,3,01_Historical_Baseline,0.0,HIGH
LAX|BOS|EXP|4,LAX,BOS,EXP,4,01_Historical_Baseline,0.0,HIGH
LAX|BOS|EXP|5,LAX,BOS,EXP,5,01_Historical_Baseline,0.0,HIGH
LAX|BOS|EXP|6,LAX,BOS,EXP,6,01_Historical_Baseline,0.0,HIGH
LAX|BOS|MAX|3,LAX,BOS,MAX,3,02_Recent_2W,0.0,HIGH
LAX|BOS|MAX|4,LAX,BOS,MAX,4,05_Trend_Adjusted,8.401084010840105,HIGH
LAX|BOS|MAX|5,LAX,BOS,MAX,5,01_Historical_Baseline,0.0,HIGH
LAX|BOS|MAX|6,LAX,BOS,MAX,6,01_Historical_Baseline,999.0,LOW
LAX|BOS|MAX|7,LAX,BOS,MAX,7,01_Historical_Baseline,999.0,LOW
LAX|CAK|EXP|3,LAX,CAK,EXP,3,01_Historical_Baseline,0.0,HIGH
LAX|CAK|EXP|4,LAX,CAK,EXP,4,01_Historical_Baseline,0.0,HIGH
LAX|CAK|EXP|5,LAX,CAK,EXP,5,01_Historical_Baseline,0.0,HIGH
LAX|CAK|MAX|3,LAX,CAK,MAX,3,01_Historical_Baseline,0.0,HIGH
LAX|CAK|MAX|6,LAX,CAK,MAX,6,01_Historical_Baseline,999.0,LOW
LAX|CAK|MAX|7,LAX,CAK,MAX,7,01_Historical_Baseline,999.0,LOW
LAX|CLT|EXP|3,LAX,CLT,EXP,3,01_Historical_Baseline,0.0,HIGH
LAX|CLT|EXP|4,LAX,CLT,EXP,4,01_Historical_Baseline,0.0,HIGH
LAX|CLT|EXP|5,LAX,CLT,EXP,5,01_Historical_Baseline,0.0,HIGH
LAX|CLT|EXP|6,LAX,CLT,EXP,6,01_Historical_Baseline,0.0,HIGH
LAX|CLT|MAX|3,LAX,CLT,MAX,3,09_Exp_Smoothing,0.4225352112676216,HIGH
LAX|CLT|MAX|4,LAX,CLT,MAX,4,05_Trend_Adjusted,8.116883116883116,HIGH
LAX|CLT|MAX|5,LAX,CLT,MAX,5,01_Historical_Baseline,0.0,HIGH
LAX|CLT|MAX|6,LAX,CLT,MAX,6,01_Historical_Baseline,0.0,HIGH
LAX|CLT|MAX|7,LAX,CLT,MAX,7,01_Historical_Baseline,0.0,HIGH
LAX|CVG|EXP|3,LAX,CVG,EXP,3,01_Historical_Baseline,0.0,HIGH
LAX|CVG|EXP|4,LAX,CVG,EXP,4,01_Historical_Baseline,0.0,HIGH
LAX|CVG|MAX|3,LAX,CVG,MAX,3,01_Historical_Baseline,0.0,HIGH
LAX|CVG|MAX|4,LAX,CVG,MAX,4,01_Historical_Baseline,0.0,HIGH
LAX|CVG|MAX|5,LAX,CVG,MAX,5,01_Historical_Baseline,0.0,HIGH
LAX|CVG|MAX|6,LAX,CVG,MAX,6,01_Historical_Baseline,999.0,LOW
LAX|CVG|MAX|7,LAX,CVG,MAX,7,01_Historical_Baseline,999.0,LOW
LAX|DEN|MAX|2,LAX,DEN,MAX,2,08_Week_Specific,3.125,HIGH
LAX|DEN|MAX|3,LAX,DEN,MAX,3,07_Same_Week_Last_Year,4.878048780487805,HIGH
LAX|DEN|MAX|4,LAX,DEN,MAX,4,07_Same_Week_Last_Year,2.1739130434782608,HIGH
LAX|DEN|MAX|5,LAX,DEN,MAX,5,01_Historical_Baseline,999.0,LOW
LAX|DEN|MAX|6,LAX,DEN,MAX,6,01_Historical_Baseline,999.0,LOW
LAX|DFW|MAX|3,LAX,DFW,MAX,3,07_Same_Week_Last_Year,0.0,HIGH
LAX|DFW|MAX|4,LAX,DFW,MAX,4,13_Weighted_Recent_Week,1.7857142857142856,HIGH
LAX|DFW|MAX|5,LAX,DFW,MAX,5,01_Historical_Baseline,999.0,LOW
LAX|DFW|MAX|6,LAX,DFW,MAX,6,01_Historical_Baseline,999.0,LOW
LAX|DFW|MAX|7,LAX,DFW,MAX,7,01_Historical_Baseline,0.0,HIGH
LAX|EWR|MAX|3,LAX,EWR,MAX,3,01_Historical_Baseline,0.0,HIGH
LAX|EWR|MAX|6,LAX,EWR,MAX,6,15_ML_Classifier_Simple_Vol,0.0,HIGH
LAX|EWR|MAX|7,LAX,EWR,MAX,7,15_ML_Classifier_Simple_Vol,0.0,HIGH
LAX|HNL|EXP|2,LAX,HNL,EXP,2,05_Trend_Adjusted,4.5265780730897,HIGH
LAX|HNL|EXP|3,LAX,HNL,EXP,3,08_Week_Specific,0.4566210045662035,HIGH
LAX|HNL|EXP|4,LAX,HNL,EXP,4,13_Weighted_Recent_Week,0.390625,HIGH
LAX|HNL|EXP|5,LAX,HNL,EXP,5,01_Historical_Baseline,0.0,HIGH
LAX|HNL|EXP|6,LAX,HNL,EXP,6,01_Historical_Baseline,0.0,HIGH
LAX|HNL|EXP|7,LAX,HNL,EXP,7,01_Historical_Baseline,0.0,HIGH
LAX|IAD|EXP|3,LAX,IAD,EXP,3,01_Historical_Baseline,0.0,HIGH
LAX|IAD|EXP|4,LAX,IAD,EXP,4,01_Historical_Baseline,0.0,HIGH
LAX|IAD|EXP|5,LAX,IAD,EXP,5,01_Historical_Baseline,0.0,HIGH
LAX|IAD|MAX|3,LAX,IAD,MAX,3,09_Exp_Smoothing,0.657894736842124,HIGH
LAX|IAD|MAX|4,LAX,IAD,MAX,4,16_ML_Regressor,0.4476902339984434,HIGH
LAX|IAD|MAX|5,LAX,IAD,MAX,5,01_Historical_Baseline,0.0,HIGH
LAX|IAD|MAX|6,LAX,IAD,MAX,6,01_Historical_Baseline,999.0,LOW
LAX|IAD|MAX|7,LAX,IAD,MAX,7,01_Historical_Baseline,999.0,LOW
LAX|IAH|MAX|2,LAX,IAH,MAX,2,06_Prior_Week,7.017543859649128,HIGH
LAX|IAH|MAX|3,LAX,IAH,MAX,3,08_Week_Specific,8.536585365853659,HIGH
LAX|IAH|MAX|4,LAX,IAH,MAX,4,09_Exp_Smoothing,1.0227272727272791,HIGH
LAX|IAH|MAX|5,LAX,IAH,MAX,5,01_Historical_Baseline,999.0,LOW
LAX|IAH|MAX|6,LAX,IAH,MAX,6,01_Historical_Baseline,999.0,LOW
LAX|MCI|MAX|3,LAX,MCI,MAX,3,07_Same_Week_Last_Year,1.9230769230769231,HIGH
LAX|MCI|MAX|4,LAX,MCI,MAX,4,09_Exp_Smoothing,0.7142857142857345,HIGH
LAX|MCI|MAX|5,LAX,MCI,MAX,5,01_Historical_Baseline,0.0,HIGH
LAX|MCI|MAX|6,LAX,MCI,MAX,6,01_Historical_Baseline,0.0,HIGH
LAX|MCO|EXP|3,LAX,MCO,EXP,3,01_Historical_Baseline,0.0,HIGH
LAX|MCO|EXP|4,LAX,MCO,EXP,4,01_Historical_Baseline,0.0,HIGH
LAX|MCO|EXP|5,LAX,MCO,EXP,5,01_Historical_Baseline,0.0,HIGH
LAX|MCO|EXP|6,LAX,MCO,EXP,6,01_Historical_Baseline,0.0,HIGH
LAX|MCO|MAX|3,LAX,MCO,MAX,3,03_Recent_4W_HYBRID,3.608247422680412,HIGH
LAX|MCO|MAX|4,LAX,MCO,MAX,4,05_Trend_Adjusted,5.9132292827944966,HIGH
LAX|MCO|MAX|5,LAX,MCO,MAX,5,01_Historical_Baseline,0.0,HIGH
LAX|MCO|MAX|6,LAX,MCO,MAX,6,01_Historical_Baseline,999.0,LOW
LAX|MCO|MAX|7,LAX,MCO,MAX,7,01_Historical_Baseline,999.0,LOW
LAX|ORD|EXP|3,LAX,ORD,EXP,3,01_Historical_Baseline,0.0,HIGH
LAX|ORD|EXP|4,LAX,ORD,EXP,4,01_Historical_Baseline,0.0,HIGH
LAX|ORD|EXP|5,LAX,ORD,EXP,5,01_Historical_Baseline,0.0,HIGH
LAX|ORD|MAX|3,LAX,ORD,MAX,3,01_Historical_Baseline,0.0,HIGH
LAX|ORD|MAX|6,LAX,ORD,MAX,6,01_Historical_Baseline,999.0,LOW
LAX|ORD|MAX|7,LAX,ORD,MAX,7,01_Historical_Baseline,999.0,LOW
LAX|SEA|MAX|3,LAX,SEA,MAX,3,07_Same_Week_Last_Year,4.838709677419355,HIGH
LAX|SEA|MAX|4,LAX,SEA,MAX,4,03_Recent_4W_HYBRID,3.260869565217391,HIGH
LAX|SEA|MAX|5,LAX,SEA,MAX,5,01_Historical_Baseline,999.0,LOW
LAX|SEA|MAX|6,LAX,SEA,MAX,6,01_Historical_Baseline,999.0,LOW
MCI|ATL|MAX|6,MCI,ATL,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|BOS|MAX|3,MCI,BOS,MAX,3,03_Recent_4W_HYBRID,0.0,HIGH
MCI|BOS|MAX|4,MCI,BOS,MAX,4,04_Recent_8W,2.7777777777777777,HIGH
MCI|BOS|MAX|5,MCI,BOS,MAX,5,01_Historical_Baseline,0.0,HIGH
MCI|BOS|MAX|6,MCI,BOS,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|CAK|MAX|3,MCI,CAK,MAX,3,18_Clustering,4.151896490606166,HIGH
MCI|CAK|MAX|4,MCI,CAK,MAX,4,04_Recent_8W,3.571428571428571,HIGH
MCI|CAK|MAX|5,MCI,CAK,MAX,5,01_Historical_Baseline,0.0,HIGH
MCI|CAK|MAX|6,MCI,CAK,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|CLT|MAX|3,MCI,CLT,MAX,3,04_Recent_8W,2.083333333333333,HIGH
MCI|CLT|MAX|4,MCI,CLT,MAX,4,04_Recent_8W,8.928571428571429,HIGH
MCI|CLT|MAX|5,MCI,CLT,MAX,5,01_Historical_Baseline,0.0,HIGH
MCI|CLT|MAX|6,MCI,CLT,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|DEN|MAX|3,MCI,DEN,MAX,3,01_Historical_Baseline,0.0,HIGH
MCI|DEN|MAX|4,MCI,DEN,MAX,4,01_Historical_Baseline,0.0,HIGH
MCI|DEN|MAX|5,MCI,DEN,MAX,5,01_Historical_Baseline,0.0,HIGH
MCI|DEN|MAX|6,MCI,DEN,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|EWR|MAX|3,MCI,EWR,MAX,3,18_Clustering,21.510545905707193,MEDIUM
MCI|EWR|MAX|4,MCI,EWR,MAX,4,12_Median_Recent,0.0,HIGH
MCI|EWR|MAX|5,MCI,EWR,MAX,5,01_Historical_Baseline,0.0,HIGH
MCI|EWR|MAX|6,MCI,EWR,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|IAD|MAX|3,MCI,IAD,MAX,3,04_Recent_8W,0.0,HIGH
MCI|IAD|MAX|4,MCI,IAD,MAX,4,04_Recent_8W,10.0,HIGH
MCI|IAD|MAX|5,MCI,IAD,MAX,5,01_Historical_Baseline,0.0,HIGH
MCI|IAD|MAX|6,MCI,IAD,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|IAH|MAX|3,MCI,IAH,MAX,3,14_SARIMA,0.8097674582242457,HIGH
MCI|IAH|MAX|4,MCI,IAH,MAX,4,04_Recent_8W,9.375,HIGH
MCI|IAH|MAX|5,MCI,IAH,MAX,5,01_Historical_Baseline,0.0,HIGH
MCI|IAH|MAX|6,MCI,IAH,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|LAX|EXP|4,MCI,LAX,EXP,4,01_Historical_Baseline,0.0,HIGH
MCI|LAX|EXP|5,MCI,LAX,EXP,5,01_Historical_Baseline,0.0,HIGH
MCI|LAX|MAX|3,MCI,LAX,MAX,3,04_Recent_8W,75.0,LOW
MCI|LAX|MAX|4,MCI,LAX,MAX,4,07_Same_Week_Last_Year,0.0,HIGH
MCI|LAX|MAX|5,MCI,LAX,MAX,5,01_Historical_Baseline,0.0,HIGH
MCI|LAX|MAX|6,MCI,LAX,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|LAX|MAX|7,MCI,LAX,MAX,7,01_Historical_Baseline,0.0,HIGH
MCI|MCO|MAX|3,MCI,MCO,MAX,3,01_Historical_Baseline,100.0,LOW
MCI|MCO|MAX|4,MCI,MCO,MAX,4,04_Recent_8W,25.0,MEDIUM
MCI|MCO|MAX|5,MCI,MCO,MAX,5,01_Historical_Baseline,0.0,HIGH
MCI|MCO|MAX|6,MCI,MCO,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|PHX|MAX|3,MCI,PHX,MAX,3,02_Recent_2W,0.0,HIGH
MCI|PHX|MAX|4,MCI,PHX,MAX,4,12_Median_Recent,0.0,HIGH
MCI|PHX|MAX|5,MCI,PHX,MAX,5,01_Historical_Baseline,0.0,HIGH
MCI|PHX|MAX|6,MCI,PHX,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|PHX|MAX|7,MCI,PHX,MAX,7,01_Historical_Baseline,0.0,HIGH
MCI|SEA|EXP|3,MCI,SEA,EXP,3,18_Clustering,0.00465636058857,HIGH
MCI|SEA|EXP|4,MCI,SEA,EXP,4,05_Trend_Adjusted,18.0,HIGH
MCI|SEA|EXP|5,MCI,SEA,EXP,5,01_Historical_Baseline,999.0,LOW
MCI|SEA|EXP|6,MCI,SEA,EXP,6,01_Historical_Baseline,999.0,LOW
MCI|SEA|EXP|7,MCI,SEA,EXP,7,01_Historical_Baseline,999.0,LOW
MCI|SEA|MAX|7,MCI,SEA,MAX,7,01_Historical_Baseline,0.0,HIGH
MCI|SFO|EXP|3,MCI,SFO,EXP,3,01_Historical_Baseline,0.0,HIGH
MCI|SFO|MAX|3,MCI,SFO,MAX,3,03_Recent_4W_HYBRID,4.166666666666666,HIGH
MCI|SFO|MAX|4,MCI,SFO,MAX,4,04_Recent_8W,12.5,HIGH
MCI|SFO|MAX|5,MCI,SFO,MAX,5,01_Historical_Baseline,0.0,HIGH
MCI|SFO|MAX|6,MCI,SFO,MAX,6,01_Historical_Baseline,0.0,HIGH
MCI|SFO|MAX|7,MCI,SFO,MAX,7,01_Historical_Baseline,0.0,HIGH
MCI|SLC|EXP|3,MCI,SLC,EXP,3,08_Week_Specific,316.66666666666663,LOW
MCI|SLC|EXP|4,MCI,SLC,EXP,4,08_Week_Specific,100.0,LOW
MCI|SLC|EXP|5,MCI,SLC,EXP,5,08_Week_Specific,0.0,HIGH
MCI|SLC|EXP|6,MCI,SLC,EXP,6,08_Week_Specific,0.0,HIGH
MCI|SLC|EXP|7,MCI,SLC,EXP,7,01_Historical_Baseline,0.0,HIGH
MCI|SLC|MAX|3,MCI,SLC,MAX,3,01_Historical_Baseline,0.0,HIGH
MCO|BOS|MAX|3,MCO,BOS,MAX,3,01_Historical_Baseline,0.0,HIGH
MCO|BOS|MAX|4,MCO,BOS,MAX,4,04_Recent_8W,37.5,MEDIUM
MCO|BOS|MAX|5,MCO,BOS,MAX,5,01_Historical_Baseline,999.0,LOW
MCO|BOS|MAX|6,MCO,BOS,MAX,6,01_Historical_Baseline,999.0,LOW
MCO|CAK|MAX|3,MCO,CAK,MAX,3,14_SARIMA,4.212723756334391,HIGH
MCO|CAK|MAX|4,MCO,CAK,MAX,4,04_Recent_8W,43.75,MEDIUM
MCO|CAK|MAX|5,MCO,CAK,MAX,5,01_Historical_Baseline,999.0,LOW
MCO|CAK|MAX|6,MCO,CAK,MAX,6,01_Historical_Baseline,999.0,LOW
MCO|CLT|MAX|3,MCO,CLT,MAX,3,01_Historical_Baseline,0.0,HIGH
MCO|CLT|MAX|4,MCO,CLT,MAX,4,01_Historical_Baseline,0.0,HIGH
MCO|CLT|MAX|5,MCO,CLT,MAX,5,01_Historical_Baseline,0.0,HIGH
MCO|CLT|MAX|6,MCO,CLT,MAX,6,01_Historical_Baseline,0.0,HIGH
MCO|DEN|EXP|3,MCO,DEN,EXP,3,14_SARIMA,25.847858839897096,MEDIUM
MCO|DEN|EXP|4,MCO,DEN,EXP,4,02_Recent_2W,0.0,HIGH
MCO|DEN|EXP|5,MCO,DEN,EXP,5,01_Historical_Baseline,999.0,LOW
MCO|DEN|MAX|3,MCO,DEN,MAX,3,07_Same_Week_Last_Year,0.0,HIGH
MCO|DEN|MAX|4,MCO,DEN,MAX,4,07_Same_Week_Last_Year,0.0,HIGH
MCO|DEN|MAX|6,MCO,DEN,MAX,6,01_Historical_Baseline,999.0,LOW
MCO|DEN|MAX|7,MCO,DEN,MAX,7,01_Historical_Baseline,999.0,LOW
MCO|DFW|MAX|3,MCO,DFW,MAX,3,12_Median_Recent,0.0,HIGH
MCO|DFW|MAX|4,MCO,DFW,MAX,4,07_Same_Week_Last_Year,0.0,HIGH
MCO|DFW|MAX|5,MCO,DFW,MAX,5,01_Historical_Baseline,999.0,LOW
MCO|DFW|MAX|6,MCO,DFW,MAX,6,01_Historical_Baseline,999.0,LOW
MCO|EWR|MAX|3,MCO,EWR,MAX,3,08_Week_Specific,3.125,HIGH
MCO|EWR|MAX|4,MCO,EWR,MAX,4,14_SARIMA,10.11903428015411,HIGH
MCO|EWR|MAX|5,MCO,EWR,MAX,5,01_Historical_Baseline,999.0,LOW
MCO|EWR|MAX|6,MCO,EWR,MAX,6,01_Historical_Baseline,999.0,LOW
